#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
32,Belgium,"4,594,338",,"32,810 ",,"4,483,029","+2,810","78,499",73,"392,510","2,803","35,824,675","3,060,627","11,705,011 ",Europe,33570,,,"6,706"
33,Canada,"4,293,273",,"45,689 ",,"4,177,877","+2,475","69,707",99,"111,515","1,187","65,412,557","1,699,056","38,499,358 ",North America,98431,,,"1,811"
34,Switzerland,"4,181,255","+5,094","14,211 ",,"4,050,935","+3,130","116,109",64,"475,173","1,615","22,569,375","2,564,866","8,799,437 ",Europe,26190,579,,"13,195"
35,Peru,"4,150,832",,"216,877 ",,"3,929,981","+1,392","3,974",96,"122,001","6,374","35,480,685","1,042,843","34,023,029 ",South America,81571,,,117
36,Czechia,"4,143,498","+2,416","41,420 ",+6,"4,086,989","+2,800","15,089",65,"385,283","3,851","56,392,100","5,243,619","10,754,424 ",Europe,32600,225,0.6,"1,403"
37,South Africa,"4,023,732",,"102,246 ",,"3,912,506",,"8,980",192,"65,941","1,676","26,174,429","428,948","61,019,987 ",Africa,155972,,,147
38,Philippines,"3,986,028","+1,196","63,581 ",+34,"3,897,408","+1,988","25,039",677,"35,300",563,"33,108,131","293,203","112,918,986 ",Asia,"281,7763",11,0.3,222
39,Romania,"3,281,047",+882,"67,131 ",+7,"3,203,467",+645,"10,449",93,"173,194","3,544","25,325,273","1,336,825","18,944,351 ",Europe,62821,47,0.4,552
40,Denmark,"3,128,640","+1,039","7,206 ",+11,"3,107,863","+1,098","13,571",20,"535,830","1,234","128,549,994","22,016,275","5,838,862 ",Europe,28100,178,2,"2,324"
41,Sweden,"2,604,866",,"20,407 ",,"2,560,188",+414,"24,271",17,"254,298","1,992","19,010,468","1,855,885","10,243,343 ",Europe,45021,,,"2,369"
42,Iraq,"2,460,868",,"25,356 ",,"2,435,048",,464,21,"58,192",600,"19,350,944","457,592","42,288,621 ",Asia,"171,6682",,,11
43,Serbia,"2,389,987",,"17,144 ",,"2,342,386",,"30,457",18,"276,079","1,980","11,230,929","1,297,337","8,656,907 ",Europe,45051,,,"3,518"
44,Hungary,"2,120,543",,"47,680 ",,"2,036,700",,"36,163",32,"220,792","4,964","11,394,556","1,186,406","9,604,263 ",Europe,52011,,,"3,765"
45,Bangladesh,"2,033,119",+287,"29,408 ",+6,"1,975,406",+554,"28,305","1,331","12,070",175,"14,954,025","88,777","168,443,964 ",Asia,"835,72811",2,0.04,168
46,Singapore,"2,017,261",,"1,646 ",,"1,923,390",,"92,225",15,"338,716",276,"24,548,641","4,121,929","5,955,619 ",Asia,"33,6180",,,"15,485"
47,Slovakia,"1,849,960",+358,"20,523 ",+5,"1,824,470",+528,"4,967",42,"338,468","3,755","7,320,360","1,339,330","5,465,690 ",Europe,32661,65,0.9,909
48,Hong Kong,"1,848,163","+4,954","10,285 ",+7,"1,649,634","+7,933","188,244",8,"242,028","1,347","66,284,763","8,680,388","7,636,152 ",Asia,47420,649,0.9,"24,652"
49,New Zealand,"1,814,890",,"3,047 ",,"1,798,540",,"13,303",,"362,826",609,"7,544,063","1,508,179","5,002,100 ",Australia/Oceania,"31,6421",,,"2,659"
50,Georgia,"1,780,691",,"16,900 ",,"1,637,293",,"126,498",,"448,350","4,255","16,920,079","4,260,207","3,971,657 ",Asia,22350,,,"31,850"
51,Jordan,"1,746,997",,"14,122 ",,"1,731,007",,"1,868",59,"167,418","1,353","17,201,885","1,648,492","10,434,919 ",Asia,67391,,,179
52,Ireland,"1,668,301",,"7,952 ",,"1,653,448",,"6,901",16,"329,443","1,570","12,749,296","2,517,630","5,064,008 ",Europe,36370,,,"1,363"
53,Pakistan,"1,573,435",+32,"30,621 ",,"1,538,689",,"4,125",40,"6,820",133,"30,570,862","132,508","230,709,965 ",Asia,"1477,5348",0.1,,18
54,Norway,"1,463,571",,"4,153 ",,"1,458,284",,"1,134",20,"265,224",753,"11,002,430","1,993,831","5,518,235 ",Europe,"41,3291",,,206
55,Kazakhstan,"1,394,305",+18,"13,692 ",,"1,379,442",,"1,171",24,"72,279",710,"11,575,012","600,031","19,290,692 ",Asia,"141,4092",0.9,,61
56,Finland,"1,323,455",,"6,242 ",,"1,288,040","+1,146","29,173",21,"238,014","1,123","11,581,841","2,082,912","5,560,407 ",Europe,48910,,,"5,247"
57,Bulgaria,"1,271,228",,"37,795 ",,"1,223,025",,"10,408",54,"186,154","5,535","10,643,594","1,558,612","6,828,893 ",Europe,51811,,,"1,524"
58,Morocco,"1,265,265",+33,"16,280 ",+1,"1,248,834",+17,151,293,"33,374",429,"12,631,370","333,178","37,911,759 ",Africa,"302,3293",0.9,0.03,4
59,Lithuania,"1,262,782","+1,120","9,369 ",+1,"1,238,738","+1,404","14,675",7,"479,139","3,555","10,206,585","3,872,701","2,635,521 ",Europe,22810,425,0.4,"5,568"
60,Croatia,"1,242,154",+363,"17,039 ",+7,"1,221,683",+457,"3,432",22,"306,902","4,210","5,315,060","1,313,205","4,047,397 ",Europe,32381,90,2,848
61,Slovenia,"1,219,095","+2,742","6,855 ",,"1,180,880",,"31,360",27,"586,218","3,296","2,757,455","1,325,960","2,079,592 ",Europe,23031,"1,319",,"15,080"
62,Lebanon,"1,216,999",,"10,688 ",,"1,087,587",,"118,724",74,"180,148","1,582","4,795,578","709,871","6,755,567 ",Asia,66321,,,"17,574"
63,Tunisia,"1,145,930",,"29,254 ",,N/A,N/A,N/A,101,"94,692","2,417","4,952,266","409,224","12,101,613 ",Africa,114142,,,552
64,Guatemala,"1,133,517",,"19,854 ",,"1,112,040",,"1,623",5,"60,700","1,063","6,019,393","322,339","18,674,126 ",North America,169413,,,87
65,Costa Rica,"1,127,602",,"8,974 ",,"860,711",,"257,917",52,"216,823","1,726","4,659,757","896,011","5,200,560 ",North America,55801,,,"49,594"
66,Cuba,"1,111,260",,"8,530 ",,"1,102,656",+2,74,23,"98,248",754,"14,166,734","1,252,496","11,310,806 ",North America,"101,3261",,,7
67,Bolivia,"1,109,037",+41,"22,237 ",,"1,061,701",+496,"25,099",220,"92,132","1,847","2,705,422","224,751","12,037,435 ",South America,115414,3,,"2,085"
68,UAE,"1,033,158",,"2,347 ",,"1,012,057",,"18,754",,"101,650",231,"193,078,317","18,996,530","10,163,873 ",Asia,"104,3310",,,"1,845"
69,Ecuador,"1,006,922",,"35,904 ",,"969,617",+363,"1,401",759,"55,155","1,967","3,082,403","168,841","18,256,219 ",South America,185086,,,77
70,Nepal,"1,000,233",+42,"12,018 ",,"987,479",+17,736,,"32,971",396,"5,950,161","196,140","30,336,304 ",Asia,"302,5245",1,,24
71,Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"105,276",754,"13,646,641","1,445,280","9,442,215 ",Europe,"91,3271",,,141
72,Uruguay,"988,527",,"7,510 ",,"980,097",,920,18,"282,334","2,145","6,114,822","1,746,459","3,501,269 ",South America,44661,,,263
73,Panama,"988,280",,"8,505 ",,"978,903",,872,16,"221,081","1,903","7,104,713","1,589,342","4,470,224 ",North America,55261,,,195
74,Mongolia,"983,988",,"2,179 ",,"980,825",,984,192,"289,483",641,"4,030,048","1,185,615","3,399,121 ",Asia,"31,5601",,,289
75,Latvia,"945,174",+872,"6,036 ",+4,"927,470",+983,"11,668",3,"514,087","3,283","7,704,267","4,190,406","1,838,549 ",Europe,23050,474,2,"6,346"
76,Azerbaijan,"822,686",+69,"9,935 ",+3,"812,339",+92,412,,"79,500",960,"7,293,381","704,791","10,348,296 ",Asia,"131,0421",7,0.3,40
77,Saudi Arabia,"819,323",+240,"9,384 ",+1,"805,851",+181,"4,088",33,"22,724",260,"44,463,331","1,233,216","36,054,770 ",Asia,"443,8421",7,0.03,113
78,Paraguay,"717,260",,"19,596 ",,"697,361",,303,7,"97,812","2,672","2,657,506","362,402","7,333,042 ",South America,103743,,,41
79,Bahrain,"685,969",,"1,523 ",,"682,010",,"2,436",1,"373,416",829,"10,443,468","5,685,030","1,837,012 ",Asia,"31,2060",,,"1,326"
80,Sri Lanka,"670,942",+13,"16,770 ",+1,"654,128",+3,44,,"31,035",776,"6,486,117","300,024","21,618,642 ",Asia,"321,2893",0.6,0.05,2
81,Kuwait,"661,333",,"2,565 ",,"657,776",,992,1,"149,788",581,"8,401,040","1,902,789","4,415,119 ",Asia,"71,7211",,,225
82,Dominican Republic,"647,205",,"4,384 ",,"642,571",,250,4,"58,323",395,"3,657,057","329,558","11,096,841 ",North America,"172,5313",,,23
83,Myanmar,"628,577",,"19,470 ",,"597,898",,"11,209",,"11,378",352,"9,056,450","163,934","55,244,347 ",Asia,"882,8376",,,203
84,Palestine,"620,757",,"5,404 ",,"614,914",,439,17,"115,535","1,006","3,078,533","572,976","5,372,881 ",Asia,99942,,,82
85,Estonia,"605,443","+1,063","2,729 ",+16,"524,990",,"77,724",8,"455,709","2,054","3,562,275","2,681,275","1,328,575 ",Europe,24870,800,12,"58,502"
86,Cyprus,"593,542",,"1,189 ",,"584,124",,"8,229",60,"483,549",969,"9,640,118","7,853,655","1,227,469 ",Asia,"21,0320",,,"6,704"
87,Moldova,"591,853",,"11,870 ",,"504,142",,"75,841",49,"147,501","2,958","3,216,305","801,566","4,012,525 ",Europe,73381,,,"18,901"
88,Venezuela,"545,377",,"5,820 ",,"538,948",,609,36,"19,304",206,"3,359,014","118,896","28,251,717 ",South America,"524,8548",,,22
89,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,830",231,"3,693,367","34,598","106,752,303 ",Africa,"2074,33729",,,458
90,Libya,"507,024",,"6,437 ",,"500,547",,40,101,"71,562",909,"2,482,490","350,380","7,085,133 ",Africa,"141,1013",,,6
91,Ethiopia,"493,783",,"7,572 ",,"472,025",,"14,186",,"4,065",62,"5,289,299","43,540","121,482,533 ",Africa,"24616,04423",,,117
92,Réunion,"473,028",,896 ,,"418,572",,"53,560",10,"519,850",985,"1,603,660","1,762,397","909,931 ",Africa,"21,0161",,,"58,862"
93,Qatar,"463,328",+612,683 ,,"459,980",+490,"2,665",2,"165,014",243,"4,005,578","1,426,587","2,807,805 ",Asia,"64,1111",218,,949
94,Honduras,"456,886",,"11,007 ",,N/A,N/A,N/A,105,"44,508","1,072","1,538,888","149,914","10,265,154 ",North America,229337,,,"30,524"
95,Armenia,"444,869",,"8,706 ",,"433,602",,"2,561",,"149,490","2,925","3,223,133","1,083,074","2,975,911 ",Asia,73421,,,861
96,Bosnia and Herzegovina,"399,544",+45,"16,160 ",,"377,272",+73,"6,112",,"123,538","4,997","1,869,064","577,911","3,234,171 ",Europe,82002,14,,"1,890"
97,Oman,"398,424",,"4,260 ",,"384,669",,"9,495",2,"73,728",788,"25,000,000","4,626,252","5,403,943 ",Asia,"141,2690",,,"1,757"
98,North Macedonia,"343,722",+57,"9,554 ",+1,"333,833",+9,335,,"164,999","4,586","2,137,078","1,025,874","2,083,178 ",Europe,62181,27,0.5,161
99,Kenya,"338,599",,"5,678 ",,"332,837",,84,1,"5,995",101,"3,906,063","69,155","56,482,561 ",Africa,"1679,94814",,,1
100,Zambia,"333,644",,"4,017 ",,"329,585",,42,,"17,055",205,"3,743,876","191,379","19,562,677 ",Africa,"594,8705",,,2
101,Albania,"332,645",,"3,591 ",,"327,456",,"1,598",,"115,880","1,251","1,941,032","676,174","2,870,611 ",Europe,97991,,,557
102,Botswana,"326,344",,"2,790 ",,"322,955",,599,1,"132,643","1,134","2,026,898","823,838","2,460,312 ",Africa,88821,,,243
103,Luxembourg,"297,757",,"1,133 ",,"288,991",,"7,633",,"458,591","1,745","4,412,567","6,796,019","649,287 ",Europe,25730,,,"11,756"
104,Montenegro,"281,979",+89,"2,784 ",,"278,415",+130,780,6,"448,834","4,431","2,639,895","4,201,995","628,248 ",Europe,22260,142,,"1,242"
105,Algeria,"270,757",,"6,881 ",,"182,367",,"81,509",,"5,929",151,"230,861","5,056","45,663,462 ",Africa,"1696,636198",,,"1,785"
106,Nigeria,"265,937",,"3,155 ",,"259,259",,"3,523",11,"1,221",14,"5,441,162","24,978","217,835,695 ",Africa,"81969,04540",,,16
107,Zimbabwe,"257,893",,"5,606 ",,"251,904",,383,12,"16,792",365,"2,525,756","164,457","15,358,108 ",Africa,"602,7406",,,25
108,Uzbekistan,"244,421",,"1,637 ",,"241,486",,"1,298",23,"7,068",47,"1,377,915","39,848","34,579,345 ",Asia,"14121,12425",,,38
109,Brunei ,"231,833",,225 ,,"222,140",,"9,468",3,"518,567",503,"717,784","1,605,547","447,065 ",Asia,"21,9871",,,"21,178"
110,Mozambique,"230,370",,"2,224 ",,"228,146",,0,11,"6,926",67,"1,371,127","41,224","33,260,207 ",Africa,"14414,95524",,,
111,Martinique,"222,830",,"1,047 ",,N/A,N/A,N/A,8,"594,848","2,795","828,928","2,212,835","374,600 ",North America,23580,,,"591,775"
112,Laos,"216,101",,758 ,,N/A,N/A,N/A,,"28,748",101,"1,233,207","164,052","7,517,187 ",Asia,"359,9176",,,"27,628"
113,Kyrgyzstan,"206,334",,"2,991 ",,"196,406",,"6,937",131,"30,475",442,"1,907,195","281,689","6,770,558 ",Asia,"332,2644",,,"1,025"
114,Iceland,"205,963",,213 ,,N/A,N/A,N/A,2,"594,736",615,"1,996,384","5,764,731","346,310 ",Europe,"21,6260",,,"375,574"
